Year,State,District,Party,Name,Votes,Winner,Incumbent
2014,Connecticut,District 52,unaffiliated,Linda Louise Lacasse,373,False,0.0
2014,Connecticut,District 52,unaffiliated,Kurt Vail,240,False,0.0
2014,Connecticut,District 53,Democratic Party,Rick Field,4088,False,0.0
2014,Connecticut,District 53,Republican Party,Sam Belsito,4647,True,1.0
2014,Connecticut,District 53,unaffiliated,Sam Belsito,384,False,1.0
2014,Connecticut,District 54,Democratic Party,Gregory Haddad,2945,True,1.0
2014,Connecticut,District 54,Republican Party,Ray Haddad,1134,False,0.0
2014,Connecticut,District 54,Working Families Party,Gregory Haddad,247,False,1.0
2014,Connecticut,District 55,Democratic Party,Joseph A. LaBella,3516,False,0.0
2014,Connecticut,District 55,Republican Party,Gayle Mulligan,6181,True,0.0
2014,Connecticut,District 55,unaffiliated,Gayle Mulligan,502,False,0.0
2014,Connecticut,District 56,Democratic Party,Claire L. Janowski,3730,True,1.0
2014,Connecticut,District 56,Republican Party,Jim Tedford,2815,False,0.0
2014,Connecticut,District 56,unaffiliated,Jim Tedford,244,False,0.0
2014,Connecticut,District 57,Democratic Party,Noele Kidney,2819,False,0.0
2014,Connecticut,District 57,Republican Party,Christopher Davis,5358,True,1.0
2014,Connecticut,District 58,Democratic Party,David Alexander,3199,True,1.0
2014,Connecticut,District 58,Republican Party,Tom Kienzler,2612,False,0.0
2014,Connecticut,District 58,Working Families Party,David Alexander,220,False,1.0
2014,Connecticut,District 58,unaffiliated,Tom Kienzler,187,False,0.0
2014,Connecticut,District 59,Democratic Party,David William Kiner,3386,True,1.0
2014,Connecticut,District 59,Republican Party,Rob Kwasnicki,2922,False,0.0
2014,Connecticut,District 59,Working Families Party,David William Kiner,270,False,1.0
2014,Connecticut,District 59,unaffiliated,Rob Kwasnicki,193,False,0.0
2014,Connecticut,District 60,Democratic Party,Peggy Sayers,4263,True,1.0
2014,Connecticut,District 60,Republican Party,Scott A. Storms,3702,False,0.0
2014,Connecticut,District 60,unaffiliated,Scott A. Storms,223,False,0.0
2014,Connecticut,District 61,Democratic Party,Joe Doering,3197,False,0.0
2014,Connecticut,District 61,Republican Party,Tami Zawistowski,4898,True,1.0
2014,Connecticut,District 61,unaffiliated,Tami Zawistowski,272,False,1.0
2014,Connecticut,District 62,Republican Party,Bill Simanski,7600,True,1.0
2014,Connecticut,District 63,Democratic Party,Marie P. Soliani,2419,False,0.0
2014,Connecticut,District 63,Republican Party,Jay M. Case,5041,True,1.0
2014,Connecticut,District 63,Independent,Jay M. Case,446,False,1.0
2014,Connecticut,District 64,Democratic Party,Roberta B. Willis,4532,True,1.0
2014,Connecticut,District 64,Republican Party,Brian Ohler,4264,False,0.0
2014,Connecticut,District 64,Working Families Party,Roberta B. Willis,263,False,1.0
2014,Connecticut,District 64,unaffiliated,Brian Ohler,415,False,0.0
2014,Connecticut,District 65,Democratic Party,Michelle L. Cook,2531,True,1.0
2014,Connecticut,District 65,Republican Party,Daniel T. Farley,2617,False,0.0
2014,Connecticut,District 65,unaffiliated,Don V. Alexander,36,False,0.0
2014,Connecticut,District 65,Working Families Party,Michelle L. Cook,349,False,1.0
2014,Connecticut,District 65,unaffiliated,Daniel T. Farley,211,False,0.0
2014,Connecticut,District 66,Democratic Party,Marjorie O'Neill,3223,False,0.0
2014,Connecticut,District 66,Republican Party,Craig A. Miner,6625,True,1.0
2014,Connecticut,District 67,Democratic Party,Gale Alexander,2426,False,0.0
2014,Connecticut,District 67,Republican Party,Cecilia Buck-Taylor,4032,True,1.0
2014,Connecticut,District 67,Green Party,Cynthia L. Day,158,False,0.0
2014,Connecticut,District 67,Working Families Party,Gale Alexander,167,False,0.0
2014,Connecticut,District 68,Democratic Party,Joe Polletta,3566,False,0.0
2014,Connecticut,District 68,Republican Party,Eric C. Berthel,4670,True,0.0
2014,Connecticut,District 68,Working Families Party,Joe Polletta,312,False,0.0
2014,Connecticut,District 68,unaffiliated,Joe Polletta,334,False,0.0
2014,Connecticut,District 69,Republican Party,Arthur O'Neill,7179,True,1.0
2014,Connecticut,District 70,Republican Party,Rosa C. Rebimbas,4560,True,1.0
2014,Connecticut,District 71,Republican Party,Anthony J. D'Amelio,4623,True,1.0
2014,Connecticut,District 71,unaffiliated,Raymond E. Rivard,861,False,0.0
2014,Connecticut,District 72,Democratic Party,Larry B. Butler,2301,True,1.0
2014,Connecticut,District 72,Republican Party,Ruben Rodriguez,936,False,0.0
2014,Connecticut,District 72,unaffiliated,Richard J. Cam,77,False,0.0
2014,Connecticut,District 72,unaffiliated,Ruben Rodriguez,145,False,0.0
2014,Connecticut,District 73,Democratic Party,Jeffrey J. Berger,3200,True,1.0
2014,Connecticut,District 73,unaffiliated,"Francis J. Caiazzo, Jr.",1012,False,0.0
2014,Connecticut,District 73,Working Families Party,Jeffrey J. Berger,294,False,1.0
2014,Connecticut,District 74,Republican Party,Selim G. Noujaim,3228,True,1.0
2014,Connecticut,District 74,unaffiliated,Margaret A. O'Brien,511,False,0.0
2014,Connecticut,District 75,Democratic Party,Victor Cuevas,1693,True,1.0
2014,Connecticut,District 75,unaffiliated,"John F. Alseph, Jr.",396,False,0.0
2014,Connecticut,District 76,Democratic Party,Stephen Simonin,2345,False,0.0
2014,Connecticut,District 76,Republican Party,John Piscopo,7189,True,1.0
2014,Connecticut,District 77,Democratic Party,Christopher A. Wright,3747,False,1.0
2014,Connecticut,District 77,Republican Party,Cara Christine Pavalock,3778,True,0.0
2014,Connecticut,District 77,unaffiliated,Cara Christine Pavalock,305,False,0.0
2014,Connecticut,District 78,Democratic Party,Dan Santorso,2393,False,0.0
2014,Connecticut,District 78,Republican Party,Whit Betts,4754,True,1.0
2014,Connecticut,District 78,Working Families Party,Dan Santorso,242,False,0.0
2014,Connecticut,District 78,unaffiliated,Whit Betts,327,False,1.0
2014,Connecticut,District 79,Democratic Party,"Frank N. Nicastro, Sr.",3324,True,1.0
2014,Connecticut,District 79,Republican Party,Joshua M. Levesque,2168,False,0.0
2014,Connecticut,District 79,unaffiliated,Joshua M. Levesque,220,False,0.0
2014,Connecticut,District 80,Democratic Party,Corky Mazurek,2810,False,0.0
2014,Connecticut,District 80,Republican Party,Rob Sampson,5440,True,1.0
2014,Connecticut,District 80,Working Families Party,Corky Mazurek,361,False,0.0
2014,Connecticut,District 80,unaffiliated,Rob Sampson,331,False,1.0
2014,Connecticut,District 81,Democratic Party,David Zoni,4041,True,1.0
2014,Connecticut,District 81,Republican Party,Al Natelli,3941,False,0.0
2014,Connecticut,District 81,Working Families Party,David Zoni,401,False,1.0
2014,Connecticut,District 82,Democratic Party,"Emil ""Buddy"" Altobello",4230,True,1.0
2014,Connecticut,District 82,Republican Party,John Broekstra,3205,False,0.0
2014,Connecticut,District 83,Democratic Party,Catherine Abercrombie,4145,True,1.0
2014,Connecticut,District 83,Republican Party,Pablo Soto,3243,False,0.0
2014,Connecticut,District 84,Democratic Party,Hilda E. Santiago,2382,True,1.0
2014,Connecticut,District 84,Green Party,Matthew Went,398,False,0.0
2014,Connecticut,District 85,Democratic Party,Mary M. Mushinsky,3607,True,1.0
2014,Connecticut,District 85,Republican Party,Frank P. Apuzzo,2955,False,0.0
2014,Connecticut,District 85,Working Families Party,Mary M. Mushinsky,298,False,1.0
2014,Connecticut,District 85,unaffiliated,Frank P. Apuzzo,243,False,0.0
2014,Connecticut,District 86,Republican Party,Vincent J. Candelora,5120,True,1.0
2014,Connecticut,District 86,unaffiliated,Vincent J. Candelora,847,False,1.0
2014,Connecticut,District 87,Democratic Party,Alden Mead,2523,False,0.0
2014,Connecticut,District 87,Republican Party,David W. Yaccarino,6012,True,1.0
2014,Connecticut,District 87,Working Families Party,Alden Mead,179,False,0.0
2014,Connecticut,District 87,unaffiliated,David W. Yaccarino,557,False,1.0
2014,Connecticut,District 88,Democratic Party,Brendan Sharkey,4641,True,1.0
2014,Connecticut,District 88,Republican Party,Matthew Corcoran,2325,False,0.0
2014,Connecticut,District 89,Democratic Party,Vickie Orsini Nardello,3727,False,0.0
2014,Connecticut,District 89,Republican Party,Lezlye Zupkus,5657,True,1.0
2014,Connecticut,District 89,Working Families Party,Vickie Orsini Nardello,315,False,0.0
2014,Connecticut,District 89,unaffiliated,Lezlye Zupkus,228,False,1.0
2014,Connecticut,District 90,Democratic Party,Mary G. Fritz,4829,True,1.0
2014,Connecticut,District 90,Republican Party,Richard J. Abbate,3823,False,0.0
2014,Connecticut,District 91,Democratic Party,Michael D'Agostino,6233,True,1.0
2014,Connecticut,District 92,Democratic Party,Patricia Dillon,4961,True,1.0
2014,Connecticut,District 92,Republican Party,James O'Connell,606,False,0.0
2014,Connecticut,District 92,Working Families Party,Patricia Dillon,329,False,1.0
2014,Connecticut,District 93,Democratic Party,Toni E. Walker,3774,True,1.0
2014,Connecticut,District 94,Democratic Party,Robyn A. Porter,4475,True,1.0
2014,Connecticut,District 94,Green Party,David R. Olszta,214,False,0.0
2014,Connecticut,District 94,Working Families Party,Robyn A. Porter,242,False,1.0
2014,Connecticut,District 95,Democratic Party,Juan Candelaria,2891,True,1.0
2014,Connecticut,District 96,Democratic Party,Roland J. Lemar,4541,True,1.0
2014,Connecticut,District 96,Working Families Party,Roland J. Lemar,584,False,1.0
2014,Connecticut,District 97,Democratic Party,Robert Megna,3334,True,1.0
2014,Connecticut,District 97,Republican Party,John Cirello,1053,False,0.0
2014,Connecticut,District 97,Working Families Party,Robert Megna,220,False,1.0
2014,Connecticut,District 97,unaffiliated,John Cirello,214,False,0.0
2014,Connecticut,District 98,Democratic Party,Sean Scanlon,5421,True,0.0
2014,Connecticut,District 98,Republican Party,Cindy Cartier,4469,False,0.0
2014,Connecticut,District 98,Working Families Party,Sean Scanlon,240,False,0.0
2014,Connecticut,District 98,unaffiliated,Cindy Cartier,269,False,0.0
2014,Connecticut,District 99,Democratic Party,James M. Albis,3876,True,1.0
2014,Connecticut,District 99,Republican Party,Stacy Gravino,2137,False,0.0
2014,Connecticut,District 99,Working Families Party,James M. Albis,343,False,1.0
2014,Connecticut,District 99,unaffiliated,James M. Albis,190,False,1.0
2014,Connecticut,District 100,Democratic Party,Matt Lesser,4558,True,1.0
2014,Connecticut,District 100,Republican Party,Angel R. Fernandez,2138,False,0.0
2014,Connecticut,District 100,unaffiliated,Matt Lesser,537,False,1.0
2014,Connecticut,District 101,Democratic Party,Alex Taubes,4289,False,0.0
2014,Connecticut,District 101,Republican Party,Noreen S. Kokoruda,5329,True,1.0
2014,Connecticut,District 101,unaffiliated,Noreen S. Kokoruda,289,False,1.0
2014,Connecticut,District 102,Democratic Party,Lonnie Reed,4417,True,1.0
2014,Connecticut,District 102,Republican Party,Paul Cianci,3623,False,0.0
2014,Connecticut,District 102,unaffiliated,Paul Cianci,241,False,0.0
2014,Connecticut,District 103,Democratic Party,Kristen Selleck,3554,False,0.0
2014,Connecticut,District 103,Republican Party,Al Adinolfi,4348,True,1.0
2014,Connecticut,District 103,unaffiliated,Al Adinolfi,313,False,1.0
2014,Connecticut,District 104,Democratic Party,Linda M. Gentile,3323,True,1.0
2014,Connecticut,District 104,Republican Party,Frederick Picroski,1848,False,0.0
2014,Connecticut,District 104,Working Families Party,Linda M. Gentile,325,False,1.0
2014,Connecticut,District 105,Democratic Party,Theresa W. Conroy,4171,True,1.0
2014,Connecticut,District 105,Republican Party,Robert Willis,3149,False,0.0
2014,Connecticut,District 105,Working Families Party,Theresa W. Conroy,449,False,1.0
2014,Connecticut,District 106,Democratic Party,Matt Cole,3753,False,0.0
2014,Connecticut,District 106,Republican Party,Mitch Bolinsky,4661,True,1.0
2014,Connecticut,District 107,Democratic Party,Dan Smolnik,2374,False,0.0
2014,Connecticut,District 107,Republican Party,David A. Scribner,5476,True,1.0
2014,Connecticut,District 107,Working Families Party,Dan Smolnik,164,False,0.0
2014,Connecticut,District 107,unaffiliated,David A. Scribner,463,False,1.0
2014,Connecticut,District 108,Republican Party,Richard A. Smith,4951,True,1.0
2014,Connecticut,District 109,Democratic Party,"David Arconti, Jr.",2722,True,1.0
2014,Connecticut,District 109,Republican Party,Josh Stanley,1680,False,0.0
2014,Connecticut,District 109,Working Families Party,"David Arconti, Jr.",205,False,1.0
2014,Connecticut,District 109,unaffiliated,Josh Stanley,144,False,0.0
2014,Connecticut,District 110,Democratic Party,Bob Godfrey,1759,True,1.0
2014,Connecticut,District 110,Republican Party,Frank Goncalves,834,False,0.0
2014,Connecticut,District 110,Working Families Party,Bob Godfrey,146,False,1.0
2014,Connecticut,District 111,Democratic Party,Sky Cole,2257,False,0.0
2014,Connecticut,District 111,Republican Party,John H. Frey,6511,True,1.0
2014,Connecticut,District 112,Democratic Party,Jen Aguilar,3578,False,0.0
2014,Connecticut,District 112,Republican Party,J.P. Sredzinski,4460,True,0.0
2014,Connecticut,District 112,unaffiliated,J.P. Sredzinski,181,False,0.0
2014,Connecticut,District 113,Republican Party,Jason Perillo,5695,True,1.0
2014,Connecticut,District 114,Democratic Party,Aldon Hynes,2759,False,0.0
2014,Connecticut,District 114,Republican Party,Themis Klarides,5487,True,1.0
2014,Connecticut,District 114,Working Families Party,Aldon Hynes,186,False,0.0
2014,Connecticut,District 114,unaffiliated,Themis Klarides,362,False,1.0
2014,Connecticut,District 115,Democratic Party,Stephen D. Dargan,4058,True,1.0
2014,Connecticut,District 115,Working Families Party,Stephen D. Dargan,432,False,1.0
2014,Connecticut,District 116,Democratic Party,"Louis P. Esposito, Sr.",2617,True,1.0
2014,Connecticut,District 116,Republican Party,Steven R. Mullins,954,False,0.0
2014,Connecticut,District 116,unaffiliated,Aaron M. Haley,27,False,0.0
2014,Connecticut,District 116,Working Families Party,"Louis P. Esposito, Sr.",145,False,1.0
2014,Connecticut,District 116,unaffiliated,Steven R. Mullins,327,False,0.0
2014,Connecticut,District 117,Democratic Party,Paul Davis,4138,False,1.0
2014,Connecticut,District 117,Republican Party,Charles J. Ferraro,3946,True,0.0
2014,Connecticut,District 117,unaffiliated,Charles J. Ferraro,335,False,0.0
2014,Connecticut,District 118,Democratic Party,Kim Rose,3672,True,1.0
2014,Connecticut,District 118,Republican Party,Ray Vitali,3159,False,0.0
2014,Connecticut,District 118,Working Families Party,Kim Rose,237,False,1.0
2014,Connecticut,District 118,unaffiliated,Ray Vitali,258,False,0.0
2014,Connecticut,District 119,Democratic Party,James Maroney,4272,False,1.0
2014,Connecticut,District 119,Republican Party,Pam Staneski,4170,True,0.0
2014,Connecticut,District 119,unaffiliated,Pam Staneski,253,False,0.0
2014,Connecticut,District 120,Democratic Party,Robert Bradley,2665,False,0.0
2014,Connecticut,District 120,Republican Party,Laura R. Hoydick,4958,True,1.0
2014,Connecticut,District 120,unaffiliated,Laura R. Hoydick,273,False,1.0
2014,Connecticut,District 121,Democratic Party,Terry Backer,3893,True,1.0
2014,Connecticut,District 121,Republican Party,Richard Fredete,1552,False,0.0
2014,Connecticut,District 122,Republican Party,Ben McGorty,5907,True,1.0
2014,Connecticut,District 122,Green Party,Kelly Hanna,692,False,0.0
2014,Connecticut,District 122,unaffiliated,Cheryl S. Jansen,428,False,0.0
2014,Connecticut,District 123,Democratic Party,Douglas Sutherland,3016,False,0.0
2014,Connecticut,District 123,Republican Party,David J. Rutigliano,5055,True,1.0
2014,Connecticut,District 123,Working Families Party,Douglas Sutherland,187,False,0.0
2014,Connecticut,District 123,unaffiliated,David J. Rutigliano,220,False,1.0
2014,Connecticut,District 124,Democratic Party,Andre Baker,2721,True,0.0
2014,Connecticut,District 125,Republican Party,Tom O'Dea,6073,True,1.0
2014,Connecticut,District 125,Green Party,David A. Bedell,825,False,0.0
2014,Connecticut,District 126,Democratic Party,Charlie L. Stallworth,3645,True,1.0
2014,Connecticut,District 127,Democratic Party,"John ""Jack"" Hennessy",2911,True,1.0
2014,Connecticut,District 127,Working Families Party,"John ""Jack"" Hennessy",406,False,1.0
2014,Connecticut,District 128,Democratic Party,Christopher Rosario,1504,True,0.0
2014,Connecticut,District 128,Republican Party,Ethan Book,242,False,0.0
2014,Connecticut,District 128,unaffiliated,Angel Reyes,174,False,0.0
2014,Connecticut,District 129,Democratic Party,Auden Grogins,3149,True,1.0
2014,Connecticut,District 130,Democratic Party,Ezequiel Santiago,1972,True,1.0
2014,Connecticut,District 130,Republican Party,David S. Goodman,308,False,0.0
2014,Connecticut,District 130,unaffiliated,Joel Gonzalez,95,False,0.0
2014,Connecticut,District 131,Republican Party,David K. Labriola,6067,True,1.0
2014,Connecticut,District 132,Democratic Party,Kevin Coyner,3233,False,0.0
2014,Connecticut,District 132,Republican Party,Brenda L. Kupchick,5233,True,1.0
2014,Connecticut,District 132,Working Families Party,Kevin Coyner,169,False,0.0
2014,Connecticut,District 132,unaffiliated,Brenda L. Kupchick,349,False,1.0
2014,Connecticut,District 133,Democratic Party,Cristin McCarthy Vahey,3827,True,0.0
2014,Connecticut,District 133,Republican Party,Carol Way,2711,False,0.0
2014,Connecticut,District 133,Working Families Party,Cristin McCarthy Vahey,276,False,0.0
2014,Connecticut,District 134,Democratic Party,Tara Cook-Littman,3989,False,0.0
2014,Connecticut,District 134,Republican Party,Laura Devlin,4353,True,0.0
2014,Connecticut,District 134,unaffiliated,Laura Devlin,191,False,0.0
2014,Connecticut,District 135,Republican Party,John J. Shaban,5578,True,1.0
2014,Connecticut,District 135,Green Party,Bonnie E. Troy,1287,False,0.0
2014,Connecticut,District 136,Democratic Party,Jonathan P. Steinberg,5009,True,1.0
2014,Connecticut,District 136,Republican Party,Brandi Briggs,3887,False,0.0
2014,Connecticut,District 136,unaffiliated,Brandi Briggs,216,False,0.0
2014,Connecticut,District 137,Democratic Party,Chris Perone,3718,True,1.0
2014,Connecticut,District 137,Republican Party,Arthur Scialabba,1860,False,0.0
2014,Connecticut,District 137,Working Families Party,Chris Perone,260,False,1.0
2014,Connecticut,District 138,Democratic Party,Henry Hall,2311,False,0.0
2014,Connecticut,District 138,Republican Party,Janice R. Giegler,3715,True,1.0
2014,Connecticut,District 138,unaffiliated,Janice R. Giegler,398,False,1.0
2014,Connecticut,District 139,Democratic Party,Kevin Ryan,3557,True,1.0
2014,Connecticut,District 139,Republican Party,Jonathan C. Gilman,2213,False,0.0
2014,Connecticut,District 139,Working Families Party,Kevin Ryan,391,False,1.0
2014,Connecticut,District 140,Democratic Party,Bruce V. Morris,2776,True,1.0
2014,Connecticut,District 140,Working Families Party,Bruce V. Morris,242,False,1.0
2014,Connecticut,District 141,Republican Party,Terrie Wood,6078,True,1.0
2014,Connecticut,District 142,Democratic Party,Andy Garfunkel,3337,False,0.0
2014,Connecticut,District 142,Republican Party,Fred Wilms,4074,True,0.0
2014,Connecticut,District 142,Working Families Party,Andy Garfunkel,162,False,0.0
2014,Connecticut,District 142,unaffiliated,Fred Wilms,202,False,0.0
2014,Connecticut,District 143,Democratic Party,Keith Rodgerson,2943,False,0.0
2014,Connecticut,District 143,Republican Party,Gail Lavielle,5880,True,1.0
2014,Connecticut,District 144,Democratic Party,Caroline Simmons,3752,True,0.0
2014,Connecticut,District 144,Republican Party,Michael L. Molgano,3224,False,1.0
2014,Connecticut,District 145,Democratic Party,Patricia Billie Miller,2681,True,1.0
2014,Connecticut,District 145,Republican Party,Carol Ann McClean,819,False,0.0
2014,Connecticut,District 146,Democratic Party,Terry B. Adams,2447,True,0.0
2014,Connecticut,District 146,Republican Party,Kieran M. Ryan,1888,False,0.0
2014,Connecticut,District 146,unaffiliated,Kieran M. Ryan,161,False,0.0
2014,Connecticut,District 147,Democratic Party,William Tong,3905,True,1.0
2014,Connecticut,District 147,Republican Party,Dennis Mahoney,3553,False,0.0
2014,Connecticut,District 147,unaffiliated,Dennis Mahoney,198,False,0.0
2014,Connecticut,District 148,Democratic Party,Daniel J. Fox,2967,True,1.0
2014,Connecticut,District 148,Republican Party,Benjamin Aponte,1283,False,0.0
2014,Connecticut,District 148,Green Party,Nathan D. Cloutier,66,False,0.0
2014,Connecticut,District 148,unaffiliated,Benjamin Aponte,120,False,0.0
2014,Connecticut,District 149,Republican Party,Livvy R. Floren,5554,True,1.0
2014,Connecticut,District 150,Democratic Party,Jill Oberlander,3119,False,0.0
2014,Connecticut,District 150,Republican Party,Mike Bocchino,3363,True,0.0
2014,Connecticut,District 151,Republican Party,Fred Camillo,5909,True,1.0
2014,Delaware,District 1,Democratic Party,"Charles Potter, Jr.",4691,True,1.0
2014,Delaware,District 2,Democratic Party,Stephanie T. Bolden,2393,True,1.0
2014,Delaware,District 2,Republican Party,Richard Dyton,527,False,0.0
2014,Delaware,District 3,Democratic Party,Helene M. Keeley,2477,True,1.0
2014,Delaware,District 3,Republican Party,"Robert I. Bovell, Jr.",510,False,0.0
2014,Delaware,District 4,Democratic Party,Gerald L. Brady,4356,True,1.0
2014,Delaware,District 4,Republican Party,Robert Keesler,2939,False,0.0
2014,Delaware,District 5,Democratic Party,Melanie George Smith,3826,True,1.0
2014,Delaware,District 6,Democratic Party,Debra Heffernan,4620,True,1.0
2014,Delaware,District 6,Republican Party,Kyle K. Buzzard,2662,False,0.0
2014,Delaware,District 7,Democratic Party,Bryon H. Short,4392,True,1.0
2014,Delaware,District 7,Libertarian Party,Robert Wilson,707,False,0.0
2014,Delaware,District 8,Democratic Party,S. Quinton Johnson IV,3562,True,1.0
2014,Delaware,District 8,Republican Party,Matthew A. Brown,2236,False,0.0
2014,Delaware,District 9,Democratic Party,Jason J. Hortiz,2950,False,0.0
2014,Delaware,District 9,Republican Party,Kevin S. Hensley,3290,True,0.0
2014,Delaware,District 9,unaffiliated,"Douglas A. Campbell, Jr.",152,False,0.0
2014,Delaware,District 10,Democratic Party,Sean Matthews,3494,True,0.0
2014,Delaware,District 10,Republican Party,Judith Travis,2840,False,1.0
2014,Delaware,District 11,Democratic Party,Lynne W. Newlin,1943,False,0.0
2014,Delaware,District 11,Republican Party,Jeffrey N. Spiegelman,3347,True,1.0
2014,Delaware,District 12,Democratic Party,Jeffry Porter,3048,False,0.0
2014,Delaware,District 12,Republican Party,Deborah D. Hudson,5726,True,1.0
2014,Delaware,District 13,Democratic Party,"John L. Mitchell, Jr.",3258,True,1.0
2014,Delaware,District 14,Democratic Party,Peter C. Schwartzkopf,5911,True,1.0
2014,Delaware,District 15,Democratic Party,Valerie Longhurst,3906,True,1.0
2014,Delaware,District 15,Republican Party,Matthew Lenzini,1828,False,0.0
2014,Delaware,District 16,Democratic Party,James Johnson,3802,True,1.0
2014,Delaware,District 16,Republican Party,"Gregory Coverdale, Jr.",805,False,0.0
2014,Delaware,District 17,Democratic Party,Michael Mulrooney,3860,True,1.0
2014,Delaware,District 18,Democratic Party,Michael Barbieri,3329,True,1.0
2014,Delaware,District 19,Democratic Party,Kimberly Williams,3128,True,1.0
2014,Delaware,District 19,Republican Party,James Startzman,1788,False,0.0
2014,Delaware,District 20,Democratic Party,M. Marie Mayor,3737,False,0.0
2014,Delaware,District 20,Republican Party,Stephen T. Smyk,5473,True,1.0
2014,Delaware,District 20,unaffiliated,Donald R. Ayotte,217,False,0.0
2014,Delaware,District 21,Republican Party,Michael Ramone,4048,True,1.0
2014,Delaware,District 21,Green Party,David A. McCorquodale,965,False,0.0
2014,Delaware,District 22,Democratic Party,John Mackenzie,2784,False,0.0
2014,Delaware,District 22,Republican Party,Joseph E. Miro,5118,True,1.0
2014,Delaware,District 22,Libertarian Party,Steven H. Newton,186,False,0.0
2014,Delaware,District 23,Democratic Party,Paul Baumbach,3740,True,1.0
2014,Delaware,District 24,Democratic Party,Edward S. Osienski,3194,True,1.0
2014,Delaware,District 25,Democratic Party,"John A. Kowalko, Jr.",3098,True,1.0
2014,Delaware,District 26,Democratic Party,John Viola,3329,True,1.0
2014,Delaware,District 27,Democratic Party,Earl Jaques,4642,True,1.0
2014,Delaware,District 28,Democratic Party,"William J. Carson, Jr.",3490,True,1.0
2014,Delaware,District 29,Democratic Party,William Charles Paradee III,3332,True,1.0
2014,Delaware,District 29,Republican Party,Peter M. Kramer,2471,False,0.0
2014,Delaware,District 30,Democratic Party,Jonathan E. Gallo,1758,False,0.0
2014,Delaware,District 30,Republican Party,William R. Outten,3489,True,1.0
2014,Delaware,District 30,Libertarian Party,Gordon Gene Smith,65,False,0.0
2014,Delaware,District 31,Democratic Party,Sean M. Lynn,2609,True,0.0
2014,Delaware,District 31,Republican Party,Samuel Chick,2286,False,0.0
2014,Delaware,District 32,Democratic Party,Andria Leigh Bennett,1860,True,1.0
2014,Delaware,District 32,Republican Party,William McVay,1371,False,0.0
2014,Delaware,District 33,Democratic Party,John Kevin Robbins,2429,False,1.0
2014,Delaware,District 33,Republican Party,Harold J. Peterman,3336,True,1.0
2014,Delaware,District 34,Democratic Party,"Theodore M. Yacucci, Sr.",2268,False,0.0
2014,Delaware,District 34,Republican Party,Lyndon Dean Yearick,4097,True,0.0
2014,Delaware,District 35,Republican Party,David L. Wilson,4155,True,1.0
2014,Delaware,District 36,Republican Party,Harvey R. Kenton,4455,True,1.0
2014,Delaware,District 37,Democratic Party,Paulette Ann Rappa,2214,False,0.0
2014,Delaware,District 37,Republican Party,Ruth Briggs King,4173,True,1.0
2014,Delaware,District 38,Republican Party,Ronald E. Gray,7133,True,1.0
2014,Delaware,District 39,Republican Party,Daniel B. Short,3977,True,1.0
2014,Delaware,District 39,Libertarian Party,James W. Brittingham,305,False,0.0
2014,Delaware,District 40,Republican Party,Timothy D. Dukes,4306,True,1.0
2014,Delaware,District 41,Democratic Party,John C. Atkins,2919,False,1.0
2014,Delaware,District 41,Republican Party,Richard G. Collins,3189,True,0.0
2014,Florida,District 1,Democratic Party,Gloria Robertson-Wiggins,15497,False,0.0
2014,Florida,District 1,Republican Party,Clay Ingram,34317,True,1.0
2014,Florida,District 2,Democratic Party,Jeremy Lau,18109,False,0.0
2014,Florida,District 2,Republican Party,Mike Hill,34133,True,1.0
2014,Florida,District 3,Republican Party,Douglas V. Broxson,47610,True,1.0
2014,Florida,District 3,unaffiliated,John Daniel Melvin II (write-in),43,False,0.0
2014,Florida,District 4,Republican Party,Matt Gaetz,1,True,1.0
2014,Florida,District 5,Republican Party,Brad Drake,38342,True,0.0
2014,Florida,District 5,Libertarian Party,Karen Schoen,11813,False,0.0
2014,Florida,District 6,Democratic Party,Jamie Shepard,14960,False,0.0
2014,Florida,District 6,Republican Party,Jay Trumbull,36794,True,0.0
2014,Florida,District 6,Green Party,Henry Newman Lawrence III,1606,False,0.0
2014,Florida,District 6,unaffiliated,Jerry Wyche (write-in),29,False,0.0
2014,Florida,District 7,Republican Party,Halsey Beshears,1,True,1.0
2014,Florida,District 8,Democratic Party,Alan Williams,41150,True,1.0
2014,Florida,District 8,unaffiliated,James W. Sinclair,189,False,0.0
2014,Florida,District 9,Democratic Party,Michelle Rehwinkel Vasilinda,1,True,1.0
2014,Florida,District 10,Republican Party,Elizabeth Porter,36387,True,1.0
2014,Florida,District 10,unaffiliated,Barbara Ann Prince,299,False,0.0
2014,Florida,District 10,unaffiliated,Wendy S. Martin,344,False,0.0
2014,Florida,District 11,Democratic Party,Dave Smith,15582,False,0.0
2014,Florida,District 11,Republican Party,Janet Adkins,44636,True,1.0
2014,Florida,District 12,Democratic Party,Yevgeny Morozov,12538,False,0.0
2014,Florida,District 12,Republican Party,Lake Ray,32048,True,1.0
2014,Florida,District 14,Democratic Party,Mia Jones,1,True,1.0
2014,Florida,District 15,Republican Party,Jay Fant,35287,True,0.0
2014,Florida,District 15,unaffiliated,Kerry Keith Kelley (write-in),41,False,0.0
2014,Florida,District 16,Republican Party,Charles McBurney,44133,True,1.0
2014,Florida,District 16,unaffiliated,Brunell William Martineau (write-in),33,False,0.0
2014,Florida,District 17,Republican Party,Ronald Renuart,50014,True,1.0
2014,Florida,District 17,unaffiliated,Rebecca S. Sharp,17900,False,0.0
